APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender
2601071034,1/2/2016,Single Family,"17725 W ORNA DR
LOS ANGELES, CA 91344
(34.299783, -118.520276)",LOS ANGELES,CA,91344,12,Wells Fargo Bank C/O Select Portfolio Servicing
5570001008,1/7/2016,Single Family,"2695 N LA CUESTA DR
LOS ANGELES, CA 90046
(34.120434, -118.354897)",LOS ANGELES,CA,90046,4,JP Morgan Chase NA
6119024008,11/7/2016,Single Family,"841 W 148TH ST
LOS ANGELES, CA 90247
(33.898269, -118.29073)",LOS ANGELES,CA,90247,15,Ditech Financial LLC
2631026015,12/14/2016,Single Family,"11826 W SNELLING ST
LOS ANGELES, CA 91352
(34.232634, -118.391078)",LOS ANGELES,CA,91352,6,Wells Fargo Bank N.A.
2254027011,11/23/2016,Single Family,"17431 W EMILITA ST
LOS ANGELES, CA 91316",LOS ANGELES,CA,91316,5,ARTHUR WEINSTOCK
5180020022,11/21/2016,Single Family,"2912 E PENNSYLVANIA AVE
LOS ANGELES, CA 90033
(34.04159, -118.202705)",LOS ANGELES,CA,90033,14,Freedom Mortgage
5043022038,11/30/2016,Single Family,"2906 S HAUSER BLVD
LOS ANGELES, CA 90016
(34.027705, -118.364514)",LOS ANGELES,CA,90016,10,"Ocwen Loan Servicing, LLC"
2114018099,1/21/2016,Single Family,"20134 W LEADWELL
LOS ANGELES, CA 91306",LOS ANGELES,CA,91306,3,Green Tree
5005030020,4/20/2016,Single Family,"5228 S MANHATTAN PL
LOS ANGELES, CA 90062
(33.994768, -118.310155)",LOS ANGELES,CA,90062,8,Fannie Mae
2305015018,11/9/2016,Single Family,"12760 W BLYTHE ST
LOS ANGELES, CA 91605
(34.21401, -118.411322)",LOS ANGELES,CA,91605,2,Wells Fargo Bank N.A.
2747014120,1/4/2016,Single Family,"10030 OWENSMOUTH
LOS ANGELES, CA 91311
(34.252729, -118.601681)",LOS ANGELES,CA,91311,12,"Deutsche Bank, c/o Select Portfolio Servicing"
2118022001,4/22/2016,Single Family,"18756 W LEADWELL ST
LOS ANGELES, CA 91335
(34.203842, -118.54251)",LOS ANGELES,CA,91335,3,PennyMac
2563036022,1/4/2016,Single Family,"9604 N HILLHAVEN AVE
LOS ANGELES, CA 91042
(34.244567, -118.291714)",LOS ANGELES,CA,91042,7,DOWNEY SAVINGS & LOAN
5042011023,12/7/2016,Multi-Family,"3727 S VAN NESS AVE
LOS ANGELES, CA 90018
(34.020147, -118.316597)",LOS ANGELES,CA,90018,8,Bank of America
6067005044,11/8/2016,Multi-Family,"1927 1/2 E 111TH ST
LOS ANGELES, CA 90059
(33.9343, -118.238001)",LOS ANGELES,CA,90059,15,Caliber Home Loans
